,precision,recall,f1-score,support
Benign,1.0,0.90625,0.9508196721311475,64.0
Malignant,0.9469026548672567,1.0,0.9727272727272728,107.0
accuracy,0.9649122807017544,0.9649122807017544,0.9649122807017544,0.9649122807017544
macro avg,0.9734513274336283,0.953125,0.9617734724292102,171.0
weighted avg,0.9667753454432543,0.9649122807017544,0.9645279368316471,171.0
