,precision,recall,f1-score,support
Benign,0.9692307692307692,0.984375,0.9767441860465116,64.0
Malignant,0.9905660377358491,0.9813084112149533,0.9859154929577464,107.0
accuracy,0.9824561403508771,0.9824561403508771,0.9824561403508771,0.9824561403508771
macro avg,0.9798984034833091,0.9828417056074766,0.981329839502129,171.0
weighted avg,0.9825809080029537,0.9824561403508771,0.982482957037752,171.0
