,precision,recall,f1-score,support
Benign,0.9206349206349206,0.90625,0.9133858267716536,64.0
Malignant,0.9444444444444444,0.9532710280373832,0.9488372093023255,107.0
accuracy,0.935672514619883,0.935672514619883,0.935672514619883,0.935672514619883
macro avg,0.9325396825396826,0.9297605140186915,0.9311115180369895,171.0
weighted avg,0.9355332776385409,0.935672514619883,0.9355688556066354,171.0
