,precision,recall,f1-score,support
Benign,0.984375,0.984375,0.984375,64.0
Malignant,0.9906542056074766,0.9906542056074766,0.9906542056074766,107.0
accuracy,0.9883040935672515,0.9883040935672515,0.9883040935672515,0.9883040935672515
macro avg,0.9875146028037383,0.9875146028037383,0.9875146028037383,171.0
weighted avg,0.9883040935672515,0.9883040935672515,0.9883040935672515,171.0
